record_id,drug,field,first_value,second_value,recommendation
B02,Cabozantinib,evidence_domain,clinical,uncertain,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,evidence_design,prospective_single_arm_phase_2,uncertain,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,drug_specificity,direct,uncertain,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,exposure_context,monotherapy,uncertain,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,direction_v2,positive,uncertain,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,strict_candidate_eligible,yes,no,defer_until_cabozantinib_source_is_supplied_and_rerated
B02,Cabozantinib,strict_binary_label,positive,NA,defer_until_cabozantinib_source_is_supplied_and_rerated
B08,Carboplatin,drug_specificity,class_only,none,retain_first_taxonomy_class_only_or_class_extrapolated;_strict_consequence_unchanged
B08,Carboplatin,direction_v2,class_extrapolated,no_direct_evidence,retain_first_taxonomy_class_only_or_class_extrapolated;_strict_consequence_unchanged
B11,Lenvatinib,direction_v2,mixed_or_limited,regimen_effect,adopt_second_regimen_effect_for_combination_consistency
B14,Temsirolimus,direction_v2,mixed_or_limited,regimen_effect,adopt_second_regimen_effect_for_combination_consistency
B15,Sirolimus,direction_v2,no_direct_evidence,class_extrapolated,adopt_second_class_extrapolated_for_taxonomy_consistency
B19,Erlotinib,direction_v2,mixed_or_limited,regimen_effect,adopt_second_regimen_effect_for_combination_consistency
