drug,rank_comp,ADRS_comp,legacy_direction,legacy_score,evidence_category,direction_v2,strict_binary_label,strict_candidate_eligible,strict_exclusion_reason,doi_or_identifier,source_url,source_verification,independent_second_review,eligible_as_independent_validation
Actinomycin D,9,0.803738317757,positive,0.55,Clinical regimen/case (confounded),contextual_case,,False,Single infant case with surgery and three-drug chemotherapy cannot establish a drug-specific effect,10.1136/adc.53.4.342,https://pubmed.ncbi.nlm.nih.gov/646450/,primary_source_checked,agree,False
Mitotane,17,0.719626168224,positive,1.0,Drug-specific clinical monotherapy,positive,positive,True,,10.1530/EJE-18-0608,https://pubmed.ncbi.nlm.nih.gov/30299884/,primary_source_checked,agree,False
Doxorubicin,23,0.691588785047,positive,0.7,Clinical regimen/case (confounded),regimen_effect,,False,EDP-M component effect cannot be separated from the four-drug regimen,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,primary_source_checked,agree,False
Palbociclib,26,0.658878504673,positive,0.65,Direct ACC preclinical,positive_preclinical,,False,Preclinical evidence cannot define clinical efficacy,10.18632/aging.101356,https://pmc.ncbi.nlm.nih.gov/articles/PMC5764399/,primary_source_checked,agree,False
Gemcitabine,34,0.607476635514,positive,0.65,Clinical regimen/case (confounded),mixed_or_limited,,False,Nearly all patients received concomitant capecitabine and many received mitotane,10.1210/jc.2017-01624,https://pubmed.ncbi.nlm.nih.gov/29092062/,primary_source_checked,agree,False
Osimertinib,35,0.598130841121,negative,0.35,Class extrapolation,class_extrapolated,,False,Gefitinib failure cannot be transferred to osimertinib,10.1200/jco.2007.25.18_suppl.15527,https://doi.org/10.1200/jco.2007.25.18_suppl.15527,primary_source_checked,agree,False
Erlotinib,40,0.584112149533,negative,0.2,Clinical regimen/case (confounded),regimen_effect,,False,Erlotinib was combined with gemcitabine and cannot define an erlotinib monotherapy label,10.1210/jc.2007-2564,https://pubmed.ncbi.nlm.nih.gov/18334586/,primary_source_checked,adjudicated_adopt_second,False
Afatinib,42,0.579439252336,negative,0.25,Class extrapolation,class_extrapolated,,False,Gefitinib failure cannot be transferred to afatinib,10.1200/jco.2007.25.18_suppl.15527,https://doi.org/10.1200/jco.2007.25.18_suppl.15527,primary_source_checked,agree,False
Etoposide,44,0.57476635514,positive,0.7,Clinical regimen/case (confounded),regimen_effect,,False,EDP-M component effect cannot be separated from the four-drug regimen,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,primary_source_checked,agree,False
Ribociclib,51,0.542056074766,positive,0.6,Direct ACC preclinical,positive_preclinical,,False,Preclinical evidence cannot define clinical efficacy,10.18632/aging.101356,https://pmc.ncbi.nlm.nih.gov/articles/PMC5764399/,primary_source_checked,agree,False
Sunitinib,69,0.42523364486,negative,0.35,Drug-specific clinical monotherapy,mixed_or_limited,,False,The primary paper concludes modest activity and reports pharmacokinetic confounding rather than an unambiguous negative,10.1210/jc.2012-1419,https://doi.org/10.1210/jc.2012-1419,primary_source_checked,agree,False
Cabozantinib,82,0.357476635514,positive,0.9,Drug-specific clinical monotherapy,positive,positive,True,,10.1016/S1470-2045(24)00095-0,https://doi.org/10.1016/S1470-2045(24)00095-0,primary_source_checked,agree_after_access_completion,False
Carboplatin,86,0.327102803738,positive,0.6,Class extrapolation,class_extrapolated,,False,Cisplatin-containing EDP-M cannot be transferred to carboplatin,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,primary_source_checked,adjudicated_retain_first,False
Cisplatin,103,0.130841121495,positive,0.7,Clinical regimen/case (confounded),regimen_effect,,False,EDP-M component effect cannot be separated from the four-drug regimen,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,primary_source_checked,agree,False
