drug,legacy_benchmark_member,legacy_direction,legacy_score,evidence_domain,evidence_design,drug_specificity,exposure_context,direction_v2,strict_binary_label,strict_candidate_eligible,strict_exclusion_reason,source_title,source_year,doi_or_identifier,source_url,locator_or_support,source_verification,independent_second_review,used_in_external_score,eligible_as_independent_validation
Mitotane,yes,positive,1.00,clinical,guideline_and_clinical_standard,direct,monotherapy_or_standard,positive,positive,yes,,European Society of Endocrinology Clinical Practice Guidelines on the management of adrenocortical carcinoma in adults,2018,10.1530/EJE-18-0608,https://pubmed.ncbi.nlm.nih.gov/30299884/,Guideline recommends mitotane monotherapy or EDP-mitotane for advanced ACC; evidence is not a randomized single-agent efficacy trial.,primary_source_checked,agree,yes,no
Cabozantinib,yes,positive,0.90,clinical,prospective_single_arm_phase_2,direct,monotherapy,positive,positive,yes,,Cabozantinib monotherapy for advanced adrenocortical carcinoma: a single-arm phase 2 trial,2024,10.1016/S1470-2045(24)00095-0,https://doi.org/10.1016/S1470-2045(24)00095-0,18 treated patients; 13/18 progression-free at four months; median PFS 6 months; no concomitant mitotane.,primary_source_checked,agree_after_access_completion,yes,no
Etoposide,yes,positive,0.70,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,,no,EDP-M component effect cannot be separated from the four-drug regimen,Combination chemotherapy in advanced adrenocortical carcinoma,2012,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,FIRM-ACT randomized EDP plus mitotane versus streptozocin plus mitotane; no etoposide monotherapy contrast.,primary_source_checked,agree,yes,no
Doxorubicin,yes,positive,0.70,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,,no,EDP-M component effect cannot be separated from the four-drug regimen,Combination chemotherapy in advanced adrenocortical carcinoma,2012,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,FIRM-ACT randomized EDP plus mitotane versus streptozocin plus mitotane; no doxorubicin monotherapy contrast.,primary_source_checked,agree,yes,no
Cisplatin,yes,positive,0.70,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,,no,EDP-M component effect cannot be separated from the four-drug regimen,Combination chemotherapy in advanced adrenocortical carcinoma,2012,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,FIRM-ACT randomized EDP plus mitotane versus streptozocin plus mitotane; no cisplatin monotherapy contrast.,primary_source_checked,agree,yes,no
Gemcitabine,yes,positive,0.65,clinical,retrospective_multicenter_regimen,direct,combination_regimen,mixed_or_limited,,no,Nearly all patients received concomitant capecitabine and many received mitotane,Gemcitabine-Based Chemotherapy in Adrenocortical Carcinoma: A Multicenter Study of Efficacy and Predictive Factors,2017,10.1210/jc.2017-01624,https://pubmed.ncbi.nlm.nih.gov/29092062/,145 patients; 132 received capecitabine; partial response 4.9% and stable disease 25.0%; drug-specific effect is not identifiable.,primary_source_checked,agree,yes,no
Palbociclib,yes,positive,0.65,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,,no,Preclinical evidence cannot define clinical efficacy,A hypothesis-driven approach identifies CDK4 and CDK6 inhibitors as candidate drugs for treatments of adrenocortical carcinomas,2017,10.18632/aging.101356,https://pmc.ncbi.nlm.nih.gov/articles/PMC5764399/,Directly tested in SW-13 and NCI-H295R cells; effects differed by pRB context.,primary_source_checked,agree,yes,no
Carboplatin,yes,positive,0.60,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,,no,Cisplatin-containing EDP-M cannot be transferred to carboplatin,Combination chemotherapy in advanced adrenocortical carcinoma,2012,10.1056/NEJMoa1200966,https://doi.org/10.1056/NEJMoa1200966,The cited regimen contains cisplatin rather than carboplatin.,primary_source_checked,adjudicated_retain_first,yes,no
Ribociclib,yes,positive,0.60,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,,no,Preclinical evidence cannot define clinical efficacy,A hypothesis-driven approach identifies CDK4 and CDK6 inhibitors as candidate drugs for treatments of adrenocortical carcinomas,2017,10.18632/aging.101356,https://pmc.ncbi.nlm.nih.gov/articles/PMC5764399/,Directly tested in SW-13 and NCI-H295R cells; activity was cell-context dependent.,primary_source_checked,agree,yes,no
Abemaciclib,no,positive,0.55,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,,no,The cited ACC experiment tested palbociclib and ribociclib rather than abemaciclib,A hypothesis-driven approach identifies CDK4 and CDK6 inhibitors as candidate drugs for treatments of adrenocortical carcinomas,2017,10.18632/aging.101356,https://pmc.ncbi.nlm.nih.gov/articles/PMC5764399/,Mechanism-class rationale only; no abemaciclib experiment in the cited paper.,primary_source_checked,agree,yes,no
Lenvatinib,no,positive,0.55,clinical,retrospective_case_series,direct,combination_regimen,regimen_effect,,no,Lenvatinib was combined with pembrolizumab and cannot be isolated,Combined lenvatinib and pembrolizumab as salvage therapy in advanced adrenal cortical carcinoma,2020,10.1136/jitc-2020-001009,https://pubmed.ncbi.nlm.nih.gov/32737143/,Eight patients received lenvatinib plus pembrolizumab; two partial responses and one stable disease.,primary_source_checked,adjudicated_adopt_second,yes,no
Actinomycin D,yes,positive,0.55,clinical,single_pediatric_case_report,direct,combination_regimen,contextual_case,,no,Single infant case with surgery and three-drug chemotherapy cannot establish a drug-specific effect,Unusual case of adrenal cortical carcinoma in a female infant,1978,10.1136/adc.53.4.342,https://pubmed.ncbi.nlm.nih.gov/646450/,One infant received surgery plus actinomycin D cyclophosphamide and 5-fluorouracil.,primary_source_checked,agree,yes,no
Everolimus,no,neutral,0.50,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,,no,Preclinical growth inhibition cannot define clinical efficacy,Tissue Expression and Pharmacological In Vitro Analyses of mTOR and SSTR Pathways in Adrenocortical Carcinoma,2017,10.1007/s12022-017-9473-8,https://pubmed.ncbi.nlm.nih.gov/28271381/,Direct everolimus exposure significantly inhibited growth in H295R and SW13 cells.,primary_source_checked,agree,yes,no
Temsirolimus,no,neutral,0.50,clinical,phase_1_expansion,direct,combination_regimen,regimen_effect,,no,Temsirolimus was combined with cixutumumab and cannot be isolated,Insulin growth factor receptor antibody cixutumumab combined with the mTOR inhibitor temsirolimus in patients with metastatic adrenocortical carcinoma,2013,10.1038/bjc.2013.46,https://pmc.ncbi.nlm.nih.gov/articles/PMC3590681/,26 patients received the combination; 11 had stable disease longer than six months.,primary_source_checked,adjudicated_adopt_second,yes,no
Sirolimus,no,neutral,0.50,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,,no,No drug-specific ACC evidence was identified in the cited mTOR literature,Tissue Expression and Pharmacological In Vitro Analyses of mTOR and SSTR Pathways in Adrenocortical Carcinoma,2017,10.1007/s12022-017-9473-8,https://pubmed.ncbi.nlm.nih.gov/28271381/,The cited experiment evaluated everolimus rather than sirolimus.,primary_source_checked,adjudicated_adopt_second,yes,no
Sunitinib,yes,negative,0.35,clinical,prospective_single_arm_phase_2,direct,monotherapy,mixed_or_limited,,no,The primary paper concludes modest activity and reports pharmacokinetic confounding rather than an unambiguous negative,Sunitinib in refractory adrenocortical carcinoma: a phase II single-arm open-label trial,2012,10.1210/jc.2012-1419,https://doi.org/10.1210/jc.2012-1419,35 evaluable patients; five stable disease and 24 progressive disease; median PFS 2.8 months; concomitant mitotane may reduce exposure.,primary_source_checked,agree,yes,no
Osimertinib,yes,negative,0.35,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,,no,Gefitinib failure cannot be transferred to osimertinib,A phase II trial of gefitinib monotherapy in patients with unresectable adrenocortical carcinoma,2007,10.1200/jco.2007.25.18_suppl.15527,https://doi.org/10.1200/jco.2007.25.18_suppl.15527,The cited study evaluated gefitinib rather than osimertinib.,primary_source_checked,agree,yes,no
Afatinib,yes,negative,0.25,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,,no,Gefitinib failure cannot be transferred to afatinib,A phase II trial of gefitinib monotherapy in patients with unresectable adrenocortical carcinoma,2007,10.1200/jco.2007.25.18_suppl.15527,https://doi.org/10.1200/jco.2007.25.18_suppl.15527,The cited study evaluated gefitinib rather than afatinib.,primary_source_checked,agree,yes,no
Erlotinib,yes,negative,0.20,clinical,multicenter_case_series,direct,combination_regimen,regimen_effect,,no,Erlotinib was combined with gemcitabine and cannot define an erlotinib monotherapy label,Treatment of advanced adrenocortical carcinoma with erlotinib plus gemcitabine,2008,10.1210/jc.2007-2564,https://pubmed.ncbi.nlm.nih.gov/18334586/,Ten heavily pretreated patients received erlotinib plus gemcitabine; one minor response and eight progressed at first staging.,primary_source_checked,adjudicated_adopt_second,yes,no
