record_id,source_id,drug,doi_or_identifier,source_accessed,access_level,evidence_domain,evidence_design,drug_specificity,exposure_context,direction,strict_candidate_eligible,strict_binary_label,strict_exclusion_reason,population_or_model,sample_size,treatment_and_comparator,outcome_numbers,source_locator,confidence,reviewer_notes
B01,S01,Mitotane,10.1530/EJE-18-0608,yes,abstract_only,clinical,guideline_and_clinical_standard,direct,monotherapy_or_standard,positive,yes,positive,NA,Adults with ACC (guideline population),NA (GRADE guideline),Adjuvant mitotane after radical resection in high-risk patients; for advanced disease mitotane monotherapy or mitotane+etoposide+doxorubicin+cisplatin,No effect estimate in abstract; graded recommendations only,"PubMed abstract, Selected Recommendations items (v) and (vi)",high,"Mitotane is explicitly recommended by name as adjuvant therapy and as monotherapy for advanced disease, i.e. an established ACC standard covered by a guideline. Full guideline text was not in the package; recommendation wording was taken verbatim from the official abstract."
B02,S02,Cabozantinib,10.1016/S1470-2045(24)00095-0,no,none,uncertain,uncertain,uncertain,uncertain,uncertain,no,NA,source_not_accessible,uncertain,uncertain,uncertain,uncertain,No full text or abstract in package (source_manifest: not_in_package; no PubMed record supplied),low,"Only the title was available and the protocol forbids inferring a label from the title alone. This is an ACCESS limitation, not a substantive scientific exclusion; the record should be re-rated once the full text is supplied. Flagged for human adjudication."
B03,S03,Etoposide,10.1056/NEJMoa1200966,yes,abstract_only,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,no,NA,combination_regimen_not_decomposable,Advanced ACC,304 randomised (FIRM-ACT),EDP (etoposide+doxorubicin+cisplatin)+mitotane vs streptozocin+mitotane,"RR 23.2% vs 9.2% (P<0.001); median PFS 5.0 vs 2.1 months (HR 0.55); median OS 14.8 vs 12.0 months (P=0.07, NS)","PubMed abstract, Methods and Results",high,"Etoposide was administered only inside the EDP regimen with mitotane; the trial contrast is regimen vs regimen, so no etoposide-specific effect can be isolated."
B04,S03,Doxorubicin,10.1056/NEJMoa1200966,yes,abstract_only,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,no,NA,combination_regimen_not_decomposable,Advanced ACC,304 randomised (FIRM-ACT),EDP (etoposide+doxorubicin+cisplatin)+mitotane vs streptozocin+mitotane,"RR 23.2% vs 9.2% (P<0.001); median PFS 5.0 vs 2.1 months (HR 0.55); median OS 14.8 vs 12.0 months (P=0.07, NS)","PubMed abstract, Methods and Results",high,Doxorubicin 40 mg/m2 day 1 was given only within EDP+mitotane; individual contribution not separable from the regimen.
B05,S03,Cisplatin,10.1056/NEJMoa1200966,yes,abstract_only,clinical,randomized_phase_3_regimen,direct,combination_regimen,regimen_effect,no,NA,combination_regimen_not_decomposable,Advanced ACC,304 randomised (FIRM-ACT),EDP (etoposide+doxorubicin+cisplatin)+mitotane vs streptozocin+mitotane,"RR 23.2% vs 9.2% (P<0.001); median PFS 5.0 vs 2.1 months (HR 0.55); median OS 14.8 vs 12.0 months (P=0.07, NS)","PubMed abstract, Methods and Results",high,Cisplatin 40 mg/m2 days 3-4 was given only within EDP+mitotane; individual contribution not separable from the regimen.
B06,S04,Gemcitabine,10.1210/jc.2017-01624,yes,abstract_only,clinical,retrospective_multicenter_regimen,direct,combination_regimen,mixed_or_limited,no,NA,combination_confounded_and_modest_effect,"Advanced ACC, real-world referral centres",145 patients (132 with concomitant capecitabine); 70 with tissue for IHC,"Gemcitabine-based chemotherapy, mostly with capecitabine; no randomised comparator",Median PFS 12 weeks (range 1-94); partial response 4.9%; stable disease 25.0%; median duration 26.8 weeks; grade 3/4 AE 11.0%,"PubMed abstract, Patients/Materials and Results",high,"Gemcitabine was given with capecitabine in 132/145 patients so the gemcitabine-specific effect is not isolable, and the authors describe the regimen as only modestly active - direction is not cleanly binary. Flagged for adjudication because two exclusion criteria apply simultaneously."
B07,S05,Palbociclib,10.18632/aging.101356,yes,full_text,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,no,NA,preclinical_only_not_human_clinical,Human ACC cell lines SW-13 and NCI-H295R (in vitro); TCGA expression cohort n=79 for the association part,2 cell lines; 2 independent experiments per measurement,Palbociclib alone (0.05-20 uM) and combined with mitotane; comparator ribociclib and mitotane alone,"IC50 15.50 uM (SW-13) and 14.06 uM (NCI-H295R); viability near 0% at 20 uM in NCI-H295R; senescence in SW-13, apoptosis in pRB-negative NCI-H295R; combination index with mitotane 0.997 (SW-13) and 1.021 (NCI-H295R)","Full text, Results 'cell viability of the SW-13 and NCI-H295R cell lines' paragraph and Figure 3b; Figure 4 (senescence)",high,"Direct and clearly positive ACC preclinical activity, but no human clinical data, therefore ineligible for the strict clinical set."
B08,S03,Carboplatin,10.1056/NEJMoa1200966,yes,abstract_only,class_extrapolation,no_direct_ACC_study,none,none,no_direct_evidence,no,NA,named_drug_not_studied_in_source,Advanced ACC,304 randomised (FIRM-ACT),EDP (etoposide+doxorubicin+cisplatin)+mitotane vs streptozocin+mitotane - carboplatin was not administered,Not applicable; no carboplatin arm or exposure,"PubMed abstract, Methods (full regimen composition); verified carboplatin absent from the record",high,"The trial used cisplatin, not carboplatin. Any carboplatin inference would be platinum-class extrapolation, which the protocol excludes."
B09,S05,Ribociclib,10.18632/aging.101356,yes,full_text,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,no,NA,preclinical_only_not_human_clinical,Human ACC cell lines SW-13 and NCI-H295R (in vitro),2 cell lines; 2 independent experiments per measurement,Ribociclib alone (0.05-20 uM) and combined with mitotane; comparator palbociclib and mitotane alone,IC50 19.08 uM in SW-13 with senescence induction; no effect on viability in NCI-H295R; mitotane+ribociclib combination index 1.043 in SW-13 but no added effect in NCI-H295R,"Full text, Results 'cell viability of the SW-13 and NCI-H295R cell lines' paragraph and Figure 3b",high,"Direct ACC preclinical testing with cell-line-dependent activity (active in SW-13, inactive in NCI-H295R); no human clinical data, therefore ineligible for the strict clinical set."
B10,S05,Abemaciclib,10.18632/aging.101356,yes,full_text,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,no,NA,named_drug_not_studied_in_source,Human ACC cell lines SW-13 and NCI-H295R (in vitro),Not applicable for abemaciclib,The source tested palbociclib and ribociclib only; abemaciclib was not administered or tested,Not applicable; no abemaciclib exposure,"Full text, Abstract and Results; full-text search returned zero occurrences of 'abemaciclib' or 'LY2835219'",high,"Abemaciclib is absent from the source. Only same-class (CDK4/6) extrapolation from palbociclib/ribociclib would be possible, which the protocol excludes; the source is also preclinical."
B11,S06,Lenvatinib,10.1136/jitc-2020-001009,yes,full_text,clinical,retrospective_case_series,direct,combination_regimen,regimen_effect,no,NA,combination_regimen_not_decomposable,"Progressive/metastatic ACC, heavily pretreated (median 4 prior lines, range 2-9)",8 patients,Lenvatinib + pembrolizumab salvage combination; no comparator,"Median PFS 5.5 months (95% CI 1.8-not reached); median duration of therapy 8.5 months (range 2-22); partial response 2/8 (25%), stable disease 1/8 (12.5%), progressive disease 5/8 (62.5%)","Full text, Abstract Results and Results section 'Efficacy of combined LEN and PEM'; table 3 and figure 1",high,"Lenvatinib was always co-administered with pembrolizumab, so its individual contribution cannot be isolated; the series is also small (n=8) and retrospective."
B12,S07,Actinomycin D,10.1136/adc.53.4.342,yes,full_text,clinical,single_pediatric_case_report,direct,combination_regimen,contextual_case,no,NA,isolated_case_report_and_combination,One 4.25-month-old female infant with adrenal cortical carcinoma,1 patient,"Surgery followed by actinomycin D + cyclophosphamide + 5-fluorouracil, 5 days every third week for 13.5 months",Postoperative hypertension and raised 17-hydroxy/21-oxosteroids resolved during chemotherapy; patient alive and well 22 months after completing chemotherapy,"Full text, abstract/case description (PMC1544871)",high,Single infant case report with surgery plus a three-drug regimen; below the protocol's minimum strength and not attributable to actinomycin D.
B13,S08,Everolimus,10.1007/s12022-017-9473-8,yes,abstract_only,preclinical,in_vitro_ACC_cell_lines,direct,monotherapy,positive_preclinical,no,NA,preclinical_only_not_human_clinical,ACC cell lines H295R and SW13 (in vitro); tissue expression assessed in 58 ACC samples,2 cell lines; 58 tumour samples for expression,"Everolimus, pasireotide and mitotane alone and in combination",Only everolimus significantly inhibited cell growth in both lines; combinations of mitotane with pasireotide/everolimus were antagonistic for mitotane-induced growth inhibition in H295R; mTOR pathway activated in ~30% of the 58 ACCs,"PubMed abstract, Results and Conclusion",high,"Direct but in vitro-only evidence; the expression component is descriptive tissue profiling, not a clinical outcome study. No human efficacy data."
B14,S09,Temsirolimus,10.1038/bjc.2013.46,yes,full_text,clinical,phase_1_expansion,direct,combination_regimen,regimen_effect,no,NA,combination_regimen_not_decomposable,"Metastatic/refractory ACC, median 4 prior therapies",26 patients,"Cixutumumab (IGF-1R antibody) 3-6 mg/kg IV weekly + temsirolimus 25-37.5 mg IV weekly, 4-week cycles; no comparator","No objective responses reported; stable disease >6 months in 11/26 (42%), duration 6-21 months; grade 1-2 toxicities predominant","Full text, Abstract Results/Conclusion and Results 'patient characteristics'",high,Temsirolimus was given only with cixutumumab in a phase I dose-expansion cohort; the primary reported benefit is prolonged stable disease and cannot be attributed to temsirolimus alone.
B15,S08,Sirolimus,10.1007/s12022-017-9473-8,yes,abstract_only,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,no,NA,named_drug_not_studied_in_source,ACC cell lines H295R and SW13; 58 ACC tissue samples,Not applicable for sirolimus,"The source tested pasireotide, everolimus and mitotane; sirolimus was not administered or tested",Not applicable; no sirolimus exposure,"PubMed abstract, aims and results (drugs tested listed explicitly); verified sirolimus/rapamycin absent from the record",high,"Sirolimus is absent from the source. Only mTOR-class extrapolation from everolimus would be possible, which the protocol excludes; the source is also preclinical."
B16,S10,Sunitinib,10.1210/jc.2012-1419,yes,abstract_only,clinical,prospective_single_arm_phase_2,direct,monotherapy,mixed_or_limited,no,NA,pharmacokinetic_confounding_and_non_binary_direction,Refractory ACC progressing after mitotane and 1-3 cytotoxic chemotherapies,"38 enrolled, 35 evaluable","Sunitinib monotherapy 50 mg/day (4 weeks on, 2 weeks off); single-arm, no comparator","5/35 stable disease, 24 progressive disease, 6 died before first evaluation; response (PFS>=12 weeks) 14.3% naive / 15.4% median-unbiased (95% CI 5.0-33.4%); median PFS 2.8 months; negative correlation between sunitinib+SU12662 and mitotane levels (r=-0.650, P=0.114)","PubMed abstract, Results and Conclusion",high,"Direct monotherapy trial, but the authors report a major pharmacokinetic confounder (mitotane-induced CYP3A4 lowering sunitinib exposure) and describe activity as modest and comparing favourably with other targeted agents, so the direction is not unambiguously negative. Protocol criterion 4 is not met. Flagged for adjudication as a genuine judgement call."
B17,S11,Osimertinib,10.1200/jco.2007.25.18_suppl.15527,no,title_only,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,no,NA,named_drug_not_studied_in_source,Unresectable ACC (population of the gefitinib trial),Not applicable for osimertinib,The source evaluates gefitinib monotherapy; osimertinib was not administered,Not applicable; no osimertinib exposure,"Source title and manifest (conference abstract, S11); abstract body not supplied in the package",medium,"The 2007 conference abstract studies gefitinib. Osimertinib was not in clinical use at that time and is not an intervention in this source; only EGFR-class extrapolation would be possible, which the protocol excludes. Abstract body unavailable, so no outcome numbers could be extracted."
B18,S11,Afatinib,10.1200/jco.2007.25.18_suppl.15527,no,title_only,class_extrapolation,no_direct_ACC_study,class_only,none,class_extrapolated,no,NA,named_drug_not_studied_in_source,Unresectable ACC (population of the gefitinib trial),Not applicable for afatinib,The source evaluates gefitinib monotherapy; afatinib was not administered,Not applicable; no afatinib exposure,"Source title and manifest (conference abstract, S11); abstract body not supplied in the package",medium,"The 2007 conference abstract studies gefitinib. Afatinib is a different (second-generation EGFR/HER) agent not used in this source; only EGFR-class extrapolation would be possible, which the protocol excludes. Abstract body unavailable, so no outcome numbers could be extracted."
